SF,Finantial resources (Rs),Placement & Higher studies,Publications,efficiency,efficient
23.17,4140.35,385,14307,0.7515,0
14.92,6300.09,1093,9797,0.7408,0
17.07,3357.88,1171,11045,0.1753,0
13.33,2500.93,950,9832,0.1281,0
16.24,3577.49,1792,11199,0.1357,0
12.89,3988.56,686,3748,0.4242,0
14.35,3541.78,726,7446,0.3066,0
18.54,2661.85,1702,7563,0.1399,0
29.93,8120.05,3462,8542,0.3895,0
26.34,3805.81,1857,10745,0.1508,0
12.72,1415.49,270,4476,0.237,0
13.01,3688.7,652,5502,0.3634,0
23.11,1726.82,2453,8376,0.1096,0
25.43,6468.57,1399,9544,0.6087,0
21.07,3769.5,737,3314,0.4513,0
23.32,6047.7,1065,4847,0.7019,0
19.44,12503.48,2343,5088,1,1
18.49,3291.73,1825,2709,0.3724,0
33.16,2385.25,1670,5940,0.1857,0
103.57,4541.88,378,2360,1,1
27.84,5548.32,4587,9084,0.2287,0
20.15,3715.29,1866,3568,0.3524,0
24.87,1762.5,760,3140,0.3147,0
9.5,836.22,283,2593,0.3837,0
20.57,1082.69,286,2270,0.4553,0
23.37,1410.02,1077,2971,0.2924,0
24.32,4879.32,1232,5270,0.3854,0
11.03,1442.32,535,366,1,1
30.03,1584.02,1580,1983,0.3574,0
21.01,1359,1245,3623,0.2346,0
18.05,1002.24,491,2645,0.3528,0
24.84,3112.32,2188,2430,0.36,0
16.46,1267.92,250,2124,0.4634,0
18.89,1472.54,644,1070,0.6295,0
20.95,2175.13,1827,1885,0.3167,0
14.01,849.7,915,477,0.7277,0
19.23,1283.91,1128,3116,0.2608,0
9.26,1902.03,642,1301,0.5227,0
22.05,1081.8,936,2107,0.3781,0
6.18,4166.36,282,1649,1,1
21.96,2030.83,309,1464,0.6859,0
26.38,1005.67,1628,1630,0.368,0
15.66,313.52,521,1296,0.5704,0
15.87,1474.11,416,1457,0.5619,0
19.9,1080.72,344,2470,0.4082,0
4.74,2571.17,269,814,1,1
14.23,1122.04,151,1086,0.8826,0
20.41,1530.72,955,1639,0.4272,0
10.6,478.53,204,1860,0.5345,0
32.26,2205.96,985,301,1,1
11.06,1904.64,860,365,0.9204,0
39.26,1099.44,1224,2422,0.4007,0
18.34,1703.27,36,1102,1,1
12.71,671.72,1180,427,0.742,0
33.63,828.29,1268,1163,0.549,0
30.47,3564.52,1685,1210,0.7707,0
25.43,424.05,767,1078,0.6449,0
17.69,861.31,921,1151,0.5041,0
19.76,606.34,259,2094,0.4882,0
40.55,672.36,1816,1268,0.4731,0
